OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
2024,1434357,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3A,0705,2020-01-25T00:21:24.000Z
2025,1434359,3599,60,NARCOTICS,11350(A) POSS CONT SUB/SUPER X,3,3B,0746,2020-01-26T00:01:32.000Z
2026,1434369,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0626,2020-01-25T00:11:00.000Z
2027,1434370,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1B,0440,2020-01-25T00:17:26.000Z
2028,1434371,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2A,0511,2020-01-06T00:21:10.000Z
2029,1434373,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2B,0545,2020-01-06T00:14:34.000Z
2030,1434374,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,4,4B,1336,2020-01-06T00:16:15.000Z
2031,1434375,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0523,2020-01-06T00:16:28.000Z
2032,1434376,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0237,2020-01-06T00:12:14.000Z
2033,1434377,1313,21,BATTERY,243(B) PC BATTERY EMERG PERSON,3,3M,0731,2020-01-25T00:11:42.000Z
2034,1434378,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,0988,2020-01-06T00:18:27.000Z
2035,1434379,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,1302,2020-01-06T00:14:18.000Z
2036,1434380,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0702,2020-01-25T00:20:00.000Z
2037,1434381,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3A,0785,2020-01-26T00:00:28.000Z
2038,1434382,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0552,2020-01-06T00:09:03.000Z
2039,1434383,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1501,2020-01-25T00:21:45.000Z
2040,1434384,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0611,2020-01-06T00:09:05.000Z
2041,1434385,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,4,4C,1251,2020-01-06T00:19:12.000Z
2042,1434386,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5C,1654,2020-01-06T00:13:25.000Z
2043,1434387,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0724,2020-01-06T00:02:43.000Z
2044,1434388,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6D,0821,2020-01-06T00:14:33.000Z
2045,1434391,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,UI,UI,UI,2020-01-06T00:07:50.000Z
2046,1434392,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1B,0435,2020-01-06T00:19:50.000Z
2047,1434403,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0568,2020-01-25T00:19:00.000Z
2048,1434406,5212,68,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,2,2B,0552,2020-01-25T00:23:43.000Z
2049,1434432,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0909,2020-01-15T00:12:39.000Z
2050,1434434,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0765,2020-01-17T00:16:06.000Z
2051,1434436,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,0876,2020-01-17T00:21:41.000Z
2052,1434437,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3A,0715,2020-01-19T00:03:50.000Z
2053,1434438,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0626,2020-01-20T00:12:04.000Z
2054,1434440,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0785,2020-01-20T00:12:32.000Z
2055,1434441,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3A,0776,2020-01-26T00:02:03.000Z
2056,1434442,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4A,0909,2020-01-21T00:09:13.000Z
2057,1434444,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0404,2020-01-23T00:07:49.000Z
2058,1434445,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5C,1653,2020-01-25T00:10:52.000Z
2059,1434446,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2C,0617,2020-01-25T00:11:37.000Z
2060,1434447,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,3,3A,0703,2020-01-26T00:05:03.000Z
2061,1434449,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3A,0724,2020-01-16T00:21:45.000Z
2062,1434451,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4A,0905,2020-01-26T00:10:40.000Z
2063,1434454,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,4,4A,0957,2020-01-26T00:10:45.000Z
2064,1434456,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,4,4A,0908,2020-01-26T00:11:49.000Z
2065,1434457,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0735,2020-01-26T00:13:03.000Z
2066,1434458,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0731,2020-01-13T00:14:54.000Z
2067,1434462,2399,3,THEFT,485 PC PETTY THFT LOST PROP-M,5,5A,1502,2020-01-26T00:02:51.000Z
2068,1434464,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0307,2020-01-25T00:05:00.000Z
2069,1434469,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1064,2020-01-26T00:07:00.000Z
2070,1434470,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3A,0773,2020-01-26T00:08:00.000Z
2071,1434471,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1616,2020-01-24T00:08:00.000Z
2072,1434472,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1616,2020-01-24T00:23:00.000Z
2073,1434474,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0233,2020-01-24T00:12:35.000Z
2074,1434475,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1018,2020-01-26T00:11:20.000Z
2075,1434476,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,6,6C,1124,2020-01-26T00:14:06.000Z
2076,1434481,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1B,0404,2020-01-24T00:15:54.000Z
2077,1434487,5707,0,PRIVACY,602 PC TRESPASS,6,6A,1015,2020-01-26T00:15:18.000Z
2078,1434488,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5A,1398,2020-01-24T00:18:09.000Z
2079,1434490,2309,0,LARCENY,484 PC PETTY THEFT/OUTSIDE,6,6B,1068,2020-01-26T00:13:48.000Z
2080,1434491,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,3,3A,0706,2020-01-26T00:14:54.000Z
2081,1434495,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,2,2C,0619,2020-01-26T00:14:43.000Z
2082,1434497,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5C,1647,2020-01-26T00:18:55.000Z
2083,1434498,5499,146,TRAFFIC,2800.4 VC EVADE DRV WRONG WAY,5,5B,1603,2020-01-24T00:17:24.000Z
2084,1434499,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,1201,2020-01-26T00:15:41.000Z
2085,1434500,2803,04,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,4,4B,0966,2020-01-26T00:16:09.000Z
2086,1434501,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,1356,2020-01-26T00:19:46.000Z
2087,1434505,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,4,4B,1333,2020-01-26T00:15:40.000Z
2088,1434506,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6C,1147,2020-01-26T00:16:31.000Z
2089,1434507,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,6,6D,0861,2020-01-26T00:18:05.000Z
2090,1434509,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1064,2020-01-26T00:21:16.000Z
2091,1434512,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,0612,2020-01-26T00:07:30.000Z
2092,1434522,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0422,2020-01-24T00:16:30.000Z
2093,1434525,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4A,1206,2020-01-25T00:14:00.000Z
2094,1434528,0999,1,HOMICIDE,187(A) HOMICIDE,2,2C,0511,2020-01-27T00:02:10.000Z
2095,1434535,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1067,2020-01-26T00:21:30.000Z
2096,1434539,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6E,0888,2020-01-26T00:22:44.000Z
2097,1434541,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,4,4B,0989,2020-01-18T00:13:00.000Z
2098,1434542,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4B,0987,2020-01-25T00:22:30.000Z
2099,1434544,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5C,1624,2020-01-26T00:23:09.000Z
2100,1434545,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0545,2020-01-23T00:23:36.000Z
2101,1434550,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1443,2020-01-24T00:12:00.000Z
2102,1434555,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0906,2020-01-27T00:01:20.000Z
2103,1434556,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0909,2020-01-24T00:14:00.000Z
2104,1434557,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,5,5C,1654,2020-01-26T00:15:00.000Z
2105,1434560,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1422,2020-01-16T00:00:00.000Z
2106,1434564,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0766,2020-01-24T00:13:45.000Z
2107,1434565,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0222,2020-01-27T00:00:00.000Z
2108,1434570,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5C,1651,2020-01-24T00:11:30.000Z
2109,1434571,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1406,2020-01-23T00:16:00.000Z
2110,1434572,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0102,2020-01-23T00:23:50.000Z
2111,1434573,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,1202,2020-01-25T00:02:00.000Z
2112,1434574,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1359,2020-01-24T00:09:00.000Z
2113,1434576,2602,0,FRAUD,FRAUD-SWINDLE,6,6C,1143,2020-01-08T00:00:00.000Z
2114,1434577,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,6,6A,1015,2020-01-26T00:13:58.000Z
2115,1434581,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0440,2020-01-26T00:22:00.000Z
2116,1434584,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1022,2020-01-26T00:13:30.000Z
2117,1434585,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1365,2020-01-20T00:22:30.000Z
2118,1434588,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1C,0409,2020-01-24T00:21:30.000Z
2119,1434589,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,0976,2020-01-24T00:13:15.000Z
2120,1434590,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6D,0804,2020-01-24T00:01:00.000Z
2121,1434591,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4C,1296,2020-01-23T00:22:30.000Z
2122,1434592,2310,0,LARCENY,1708 US THEFT OF MAIL,3,3B,0787,2020-01-23T00:13:45.000Z
2123,1434593,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0878,2020-01-24T00:17:40.000Z
2124,1434594,7399,80,PUBLIC ORDER,374.3(A) PC ILLEGAL DUMPING,5,5C,1654,2020-01-24T00:18:00.000Z
2125,1434601,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6A,1013,2020-01-24T00:23:00.000Z
2126,1434602,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0747,2020-01-26T00:00:45.000Z
2127,1434604,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0764,2020-01-26T00:09:15.000Z
2128,1434605,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0701,2020-01-25T00:02:20.000Z
2129,1434606,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1603,2020-01-26T00:09:10.000Z
2130,1434607,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0775,2020-01-24T00:20:00.000Z
2131,1434609,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0328,2020-01-25T00:10:58.000Z
2132,1434614,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0422,2020-01-18T00:12:00.000Z
2133,1434616,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0732,2020-01-25T00:08:15.000Z
2134,1434617,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1351,2020-01-26T00:22:32.000Z
2135,1434620,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,1359,2020-01-26T00:23:02.000Z
2136,1434621,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,0877,2020-01-27T00:10:10.000Z
2137,1434622,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1522,2020-01-26T00:22:30.000Z
2138,1434623,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0741,2020-01-27T00:13:00.000Z
2139,1434624,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0628,2020-01-20T00:19:51.000Z
2140,1434626,2399,2,LARCENY,484 PC PETTY THEFT,2,2B,0527,2020-01-27T00:11:30.000Z
2141,1434627,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4B,1351,2020-01-17T00:11:59.000Z
2142,1434628,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0823,2020-01-20T00:14:00.000Z
2143,1434629,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020-01-22T00:14:47.000Z
2144,1434630,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1295,2020-01-23T00:13:24.000Z
2145,1434631,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1403,2020-01-21T00:13:30.000Z
2146,1434632,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0747,2020-01-24T00:00:00.000Z
2147,1434633,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0937,2020-01-23T00:19:40.000Z
2148,1434634,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0328,2020-01-26T00:14:14.000Z
2149,1434635,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,6,6C,1121,2020-01-27T00:14:20.000Z
2150,1434638,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0936,2020-01-25T00:19:45.000Z
2151,1434639,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0606,2020-01-27T00:07:55.000Z
2152,1434640,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,2020-01-23T00:22:00.000Z
2153,1434641,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0626,2020-01-26T00:02:00.000Z
2154,1434642,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,1105,2020-01-21T00:22:00.000Z
2155,1434643,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2B,0544,2020-01-27T00:00:09.000Z
2156,1434646,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,3,3M,0742,2020-01-27T00:10:47.000Z
2157,1434650,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4C,1269,2020-01-26T00:22:00.000Z
2158,1434653,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0777,2020-01-23T00:10:00.000Z
2159,1434654,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1409,2020-01-14T00:21:00.000Z
2160,1434655,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0927,2020-01-24T00:20:00.000Z
2161,1434656,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6A,1011,2020-01-23T00:20:40.000Z
2162,1434657,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1654,2020-01-24T00:18:30.000Z
2163,1434658,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,2020-01-24T00:22:55.000Z
2164,1434659,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1114,2020-01-23T00:22:55.000Z
2165,1434660,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,0718,2020-01-26T00:12:45.000Z
2166,1434661,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0785,2020-01-25T00:10:30.000Z
2167,1434662,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0782,2020-01-25T00:04:30.000Z
2168,1434663,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1631,2020-01-25T00:20:40.000Z
2169,1434664,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0716,2020-01-26T00:18:00.000Z
2170,1434666,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2020-01-23T00:12:50.000Z
2171,1434667,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0444,2020-01-25T00:00:00.000Z
2172,1434668,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,0232,2020-01-25T00:08:17.000Z
2173,1434669,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,0232,2020-01-25T00:08:35.000Z
2174,1434670,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0877,2020-01-25T00:14:25.000Z
2175,1434671,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,2020-01-24T00:19:20.000Z
2176,1434672,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1035,2020-01-24T00:19:10.000Z
2177,1434673,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3M,0734,2020-01-24T00:22:00.000Z
2178,1434676,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1624,2020-01-27T00:08:15.000Z
2179,1434677,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0328,2020-01-27T00:10:00.000Z
2180,1434680,0999,1,HOMICIDE,187(A) HOMICIDE,4,4C,1255,2020-01-27T00:12:16.000Z
2181,1434683,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6B,1084,2020-01-25T00:19:54.000Z
2182,1434686,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0727,2020-01-27T00:12:46.000Z
2183,1434691,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,3,3B,0767,2020-01-26T00:17:30.000Z
2184,1434692,2506,02,FORGERY,475(A)PC POSS FORGED CHK/NOTE,3,3A,0701,2020-01-27T00:07:42.000Z
2185,1434693,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,6,6D,0841,2020-01-27T00:12:49.000Z
2186,1434694,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6D,0824,2020-01-27T00:13:30.000Z
2187,1434700,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6E,0877,2020-01-27T00:12:10.000Z
2188,1434702,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4B,1344,2020-01-20T00:10:33.000Z
2189,1434703,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1502,2020-01-26T00:09:53.000Z
2190,1434707,1212,0,ROBBERY,215(A) PC CARJACKING,2,2C,0603,2020-01-26T00:23:47.000Z
2191,1434708,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1111,2020-01-25T00:21:03.000Z
2192,1434709,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0776,2020-01-26T00:11:00.000Z
2193,1434710,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,2020-01-25T00:01:59.000Z
2194,1434711,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6A,1051,2020-01-26T00:18:40.000Z
2195,1434712,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1631,2020-01-26T00:03:50.000Z
2196,1434714,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0402,2020-01-25T00:18:21.000Z
2197,1434729,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,0777,2020-01-21T00:16:44.000Z
2198,1434730,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,0731,2020-01-27T00:14:28.000Z
2199,1434731,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,3,3A,0763,2020-01-25T00:17:18.000Z
2200,1434737,7399,54A,CITY ORDINANCE,12.24.100SCC BLOCKING SIDEWALK,2,2C,0603,2020-01-27T00:15:49.000Z
2201,1434740,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,2,2A,0504,2020-01-26T00:16:54.000Z
2202,1434745,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0905,2020-01-26T00:09:48.000Z
2203,1434746,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,1,1C,0406,2020-01-26T00:09:10.000Z
2204,1434751,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6E,0898,2020-01-20T00:17:30.000Z
2205,1434753,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0721,2020-01-27T00:07:50.000Z
2206,1434754,7399,132,SAC CITY CODE,12.74.030 SCC-CITY HALL VIOL-M,3,3M,0734,2020-01-27T00:20:26.000Z
2207,1434755,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,6,6E,1101,2020-01-27T00:21:18.000Z
2208,1434756,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0834,2020-01-27T00:17:25.000Z
2209,1434757,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0233,2020-01-24T00:14:43.000Z
2210,1434759,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,5,5B,1614,2020-01-27T00:19:54.000Z
2211,1434762,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5A,1522,2020-01-26T00:14:15.000Z
2212,1434764,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0776,2020-01-27T00:19:58.000Z
2213,1434765,7399,28,SAC CITY CODE,9.04.050(A) DRINKING IN PUBLIC,3,3M,0734,2020-01-27T00:16:59.000Z
2214,1434767,7399,69,SAC CITY CODE,12.72.090 SCC IN PK AFTER HRS,3,3M,0734,2020-01-27T00:18:17.000Z
2215,1434770,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,3,3A,0712,2020-01-27T00:18:24.000Z
2216,1434772,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,,,,2020-01-27T00:20:10.000Z
2217,1434773,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,6,6E,1101,2020-01-27T00:18:25.000Z
2218,1434774,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0738,2020-01-26T00:14:45.000Z
2219,1434775,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0787,2020-01-25T00:01:00.000Z
